VENUE,WEBSITE,ADDRESS,CITY,STATE,PHONE,TYPE,TOURNAMENTS,PokerAtlasURL,HOURS
Nautica Charity Poker Festivals,-,2249 Elm St,Cleveland,OH,-,Charity Poker,No,,Not available
Chagrin Falls Dads' Club Poker Tournament,chagrindads.com,83 N Main St,Chagrin Falls,OH,-,Charity Poker,No,,Not available
Bexley Community Foundation Poker Fundraiser,bexley.org/poker,Jeffrey Mansion,Bexley,OH,-,Charity Poker,No,,Not available
The Joker Club,-,Akron area,Akron,OH,-,Charity Poker,No,,Not available
Reserve Poker Club,-,Statewide,Various,OH,-,Charity Poker,No,,Not available
Grinder's Poker Club,-,-,Zanesville,OH,-,Charity Poker,No,,Not available
Elks Lodges (Various),elks.org,Various locations,Various,WI,-,Charity Poker,No,,Not available
Little Kings and Queens,-,-,Buford,GA,-,Charity Poker,No,,Not available
Elks #155 Charity Casino,-,-,Fort Wayne,IN,-,Charity Poker,No,,Not available
Central Valley Gaming (Turlock Poker Room),turlockpoker.com,2321 W Main St,Turlock,CA,(209) 668-1010,Charity Poker,Yes,https://www.pokeratlas.com/poker-room/turlock-poker-room,8:00am - 4:00am Sun-Thu; All Day Fri/Sat
